home_score,away_score,roof,surface,spread,favored_team,vegas_total,attendance,away_rush_attempts,away_rush_yards,away_rush_tds,home_rush_attempts,home_rush_yards,home_rush_tds,away_pass_completions,away_pass_attempts,away_pass_yards,away_pass_tds,away_pass_ints,home_pass_completions,home_pass_attempts,home_pass_yards,home_pass_tds,home_pass_ints,away_sacked,away_sacked_yds,home_sacked,home_sacked_yds,away_total_yds,home_total_yds,away_fumbles,away_fumbles_lost,home_fumbles,home_fumbles_lost,away_turnovers,home_turnovers,away_penalties,away_penalties_yds,home_penalties,home_penalties_yds,away_third_down_attempts,away_third_down_converted,home_third_down_attempts,home_third_down_converted,away_fourth_down_attempts,away_fourth_down_converted,home_fourth_down_attempts,home_fourth_down_converted,away_possession_pct,home_possession_pct,home_drives,home_total_plays,home_punts,home_field_goals,home_touchdowns,vis_drives,vis_total_plays,vis_punts,vis_field_goals,vis_touchdowns,home_qb,home_rb,home_rb2,home_rb3,home_te,home_te2,home_ol1,home_ol2,home_ol3,home_ol4,home_ol5,home_dt,home_dt2,home_nt,home_lb,home_lb2,home_lb3,home_lb4,home_db,home_db2,home_db3,home_db4,vis_t/g,vis_qb,vis_rb,vis_fb,vis_wr,vis_wr2,vis_te,vis_ol1,vis_ol2,vis_ol3,vis_ol4,vis_dl,vis_dl2,vis_dl3,vis_lb,vis_lb2,vis_lb3,vis_cb,vis_cb2,vis_s,vis_s2,vis_s3,season,week,away_team,home_team,game_url,date,home_fb,home_wr,home_wr2,home_de,home_de2,home_cb,home_cb2,home_s,home_s2,vis_te2,vis_ol5,vis_de,vis_de2,vis_dt,vis_dt2,vis_olb,home_wr3,home_dl,home_dl2,home_dl3,home_dl4,vis_cb3,vis_wr3,home_ss,vis_olb2,vis_fs,home_de3,home_cb3,home_g/t,home_s3,vis_g/c,vis_fb/dl,vis_g/t,vis_ilb,vis_ilb2,vis_lb4,vis_db,home_c/g,home_t/g,home_fs,vis_c/g,vis_hb,home_wr/pr,vis_de/dt,home_wr4,vis_db2,vis_rb2,vis_de3,vis_db3,vis_db4,vis_nt,vis_de/nt,vis_te3,home_hb,vis_db5,home_te3,home_olb,home_olb2,home_cb/rs,home_wr/rs,home_g/c,home_ilb,vis_wr4,home_de/nt,home_ilb2,vis_ss,vis_ss2,home_de/dt,vis_dt3,home_db5,vis_fb/te,vis_wr/rs,vis_lb/de,vis_lb/de2,home_ss2,vis_olb3,vis_dl4,home_lb/de,home_lb/de2,home_qb2,home_ol6,home_fb/dl,home_fb/te,home_g/ot,home_fs2,vis_fs2,vis_g/ot,vis_ol6,home_dt3,home_c/g2,home_c/g3,home_cb4,vis_nt2,vis_mlb,vis_hb2,vis_qb2,home_g/c2,vis_g/c2,vis_cb4,vis_c/g2,home_g/t2,home_mlb,home_fb/rb,home_ot/g,vis_fb/rb
3,10,outdoors,grass,-3.5,Chicago Bears,47.0,62435,22,47,0,15,46,0,18,30,203,1,0,26,45,228,0,1,5,37,5,20,213,254,1,0,0,0,0,1,10,71,10,107,12,2,15,3,0,0,2,0,0.52,0.48,12,66,8,1,0,13,58,9,1,1,Mitchell Trubisky,Tarik Cohen,Mike Davis,David Montgomery,Bradley Sowell,Adam Shaheen,Kyle Long,Cody Whitehair,Bobby Massie,Charles Leno Jr.,James Daniels,Akiem Hicks,Bilal Nichols,Eddie Goldman,Khalil Mack,Roquan Smith,Leonard Floyd,Danny Trevathan,Eddie Jackson,Prince Amukamara,Kyle Fuller,Ha Ha Clinton-Dix,Billy Turner,Aaron Rodgers,Aaron Jones,Danny Vitale,Davante Adams,Marquez Valdes-Scantling,Marcedes Lewis,David Bakhtiari,Bryan Bulaga,Lane Taylor,Corey Linsley,Montravius Adams,Dean Lowry,Kenny Clark,Blake Martinez,Preston Smith,Za'Darius Smith,Jaire Alexander,Tramon Williams,Darnell Savage Jr.,Raven Greene,Adrian Amos,2019,1.0,Green Bay Packers,Chicago Bears,https://www.pro-football-reference.com/boxscores/201909050chi.htm,2019-09-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,12,dome,sportturf,-3.5,Minnesota Vikings,47.0,66714,17,73,0,38,172,3,33,46,304,2,2,8,10,98,1,0,4,32,1,1,345,269,1,1,2,0,3,0,9,78,11,100,8,2,10,5,2,2,0,0,0.5,0.5,10,49,5,0,4,10,67,3,0,2,Kirk Cousins,Dalvin Cook,,,Kyle Rudolph,,Riley Reiff,Brian O'Neill,Pat Elflein,Josh Kline,Garrett Bradbury,Linval Joseph,Shamar Stephen,,Eric Kendricks,Anthony Barr,Ben Gedeon,,,,,,,Matt Ryan,Devonta Freeman,,Calvin Ridley,Julio Jones,Luke Stocker,Kaleb McGary,Jake Matthews,James Carpenter,Chris Lindstrom,,,,Deion Jones,De'Vondre Campbell,,Isaiah Oliver,Desmond Trufant,Keanu Neal,Ricardo Allen,,2019,1.0,Atlanta Falcons,Minnesota Vikings,https://www.pro-football-reference.com/boxscores/201909080min.htm,2019-09-08,C.J. Ham,Stefon Diggs,Adam Thielen,Everson Griffen,Danielle Hunter,Xavier Rhodes,Trae Waynes,Harrison Smith,Anthony Harris,Austin Hooper,Alex Mack,Allen Bailey,Takkarist McKinley,Grady Jarrett,Tyeler Davison,Vic Beasley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,17,outdoors,fieldturf,-2.5,New York Jets,41.0,78523,25,128,1,21,68,0,24,37,254,1,2,28,41,175,1,0,1,12,4,20,370,223,2,2,2,1,4,1,7,55,8,67,10,5,17,7,1,0,2,1,0.47,0.53,11,67,7,0,1,12,64,3,1,2,Sam Darnold,Le'Veon Bell,,,Ryan Griffin,,Kelvin Beachum,Brandon Shell,Brian Winters,Kelechi Osemele,Ryan Kalil,,,,Harvey Langi,C.J. Mosley,Neville Hewitt,,,,,,,Josh Allen,Devin Singletary,Patrick DiMarco,Cole Beasley,John Brown,Lee Smith,Dion Dawkins,Cody Ford,Quinton Spain,Jon Feliciano,,,,Matt Milano,Tremaine Edmunds,,Taron Johnson,Levi Wallace,Jordan Poyer,Micah Hyde,,2019,1.0,Buffalo Bills,New York Jets,https://www.pro-football-reference.com/boxscores/201909080nyj.htm,2019-09-08,,Robbie Chosen,Jamison Crowder,,,Trumaine Johnson,Darryl Roberts,Jamal Adams,Marcus Maye,,Mitch Morse,Jerry Hughes,Trent Murphy,Star Lotulelei,Ed Oliver,,Quincy Enunwa,Bronson Kaufusi,Steve McLendon,Leonard Williams,Henry Anderson,Tre'Davious White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,30,outdoors,grass,-1.5,Los Angeles Rams,49.5,72005,32,166,2,23,127,3,23,39,186,1,1,25,38,239,0,1,1,3,3,23,349,343,1,0,2,2,1,3,5,43,6,46,17,9,11,5,0,0,0,0,0.55,0.45,13,67,4,2,3,13,76,3,3,3,Cam Newton,Christian McCaffrey,,,Greg Olsen,Chris Manhertz,Taylor Moton,Daryl Williams,Trai Turner,Greg Van Roten,Matt Paradis,Gerald McCoy,Kawann Short,,Luke Kuechly,Jermaine Carter Jr.,Shaq Thompson,,Donte Jackson,Eric Reid,James Bradberry,Tre Boston,,Jared Goff,Todd Gurley,,Robert Woods,Brandin Cooks,Tyler Higbee,Austin Blythe,Joseph Noteboom,Rob Havenstein,Andrew Whitworth,Michael Brockers,,,Bryce Hager,Cory Littleton,Clay Matthews,Marcus Peters,Aqib Talib,John Johnson,Eric Weddle,,2019,1.0,Los Angeles Rams,Carolina Panthers,https://www.pro-football-reference.com/boxscores/201909080car.htm,2019-09-08,,Curtis Samuel,D.J. Moore,Mario Addison,Brian Burns,,,,,,Brian Allen,,,Sebastian Joseph-Day,Aaron Donald,Dante Fowler,,,,,,,Cooper Kupp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,43,outdoors,grass,-5.5,Cleveland Browns,44.0,67431,28,123,1,20,102,1,14,24,248,3,0,25,38,285,1,3,4,32,5,41,339,346,0,0,0,0,0,3,6,54,18,182,10,2,10,1,0,0,2,0,0.49,0.51,14,63,5,0,2,13,58,6,2,4,Baker Mayfield,Nick Chubb,,,David Njoku,,Greg Robinson,Chris Hubbard,Joel Bitonio,Eric Kush,J.C. Tretter,Larry Ogunjobi,Sheldon Richardson,,Christian Kirksey,Joe Schobert,,,,,,,Dennis Kelly,Marcus Mariota,Derrick Henry,,A.J. Brown,Corey Davis,Delanie Walker,Jack Conklin,Jamil Douglas,Rodger Saffold,Ben Jones,DaQuan Jones,,,Jayon Brown,Rashaan Evans,,Adoree' Jackson,Logan Ryan,Kenny Vaccaro,,,2019,1.0,Tennessee Titans,Cleveland Browns,https://www.pro-football-reference.com/boxscores/201909080cle.htm,2019-09-08,,Odell Beckham Jr.,Rashard Higgins,Myles Garrett,Olivier Vernon,Denzel Ward,Greedy Williams,Damarious Randall,Jermaine Whitehead,Jonnu Smith,,,,Jurrell Casey,,Sharif Finch,Jarvis Landry,,,,,Malcolm Butler,,Morgan Burnett,Harold Landry,Kevin Byard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,40,outdoors,grass,-3.5,Kansas City Chiefs,49.0,60157,26,113,1,16,81,0,25,34,378,3,0,27,33,350,3,1,0,0,1,3,491,428,0,0,1,1,0,2,5,55,10,71,10,5,10,5,0,0,0,0,0.52,0.48,10,52,2,2,3,10,64,1,4,4,Nick Foles,Leonard Fournette,,,James O'Shaughnessy,,A.J. Cann,Will Richardson,Jawaan Taylor,Brandon Linder,Andrew Norwell,Abry Jones,,,Quincy Williams,Myles Jack,,,,,,,,Patrick Mahomes,Damien Williams,,Tyreek Hill,Sammy Watkins,Travis Kelce,Eric Fisher,Mitchell Schwartz,Andrew Wylie,Laurent Duvernay-Tardif,,,,Anthony Hitchens,Damien Wilson,,Charvarius Ward,Kendall Fuller,Tyrann Mathieu,Juan Thornhill,,2019,1.0,Kansas City Chiefs,Jacksonville Jaguars,https://www.pro-football-reference.com/boxscores/201909080jax.htm,2019-09-08,,DJ Chark,Chris Conley,Yannick Ngakoue,Calais Campbell,A.J. Bouye,Jalen Ramsey,Ronnie Harrison,Jarrod Wilson,,Austin Reiter,Frank Clark,Alex Okafor,Derrick Nnadi,Chris Jones,,Dede Westbrook,,,,,Bashaud Breeland,Demarcus Robinson,,,,Josh Hines-Allen,D.J. Hayden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,59,outdoors,grass,-7.0,Baltimore Ravens,41.0,65012,46,265,2,12,21,0,23,26,379,6,0,15,32,190,1,2,1,1,3,11,643,200,0,0,1,1,0,3,4,40,9,64,11,7,10,3,2,2,0,0,0.67,0.33,10,48,6,1,1,12,74,1,1,8,Ryan Fitzpatrick,Kalen Ballage,,,Durham Smythe,,Julién Davenport,Michael Deiter,Danny Isidora,Daniel Kilgore,,Davon Godchaux,Christian Wilkins,,Samuel Eguavoen,Jerome Baker,,,,,,,,Lamar Jackson,Mark Ingram,,Marquise Brown,Miles Boykin,Nick Boyle,Orlando Brown Jr.,Ronnie Stanley,Bradley Bozeman,,,,,,,,Jimmy Smith,Brandon Carr,Earl Thomas,Tony Jefferson,,2019,1.0,Baltimore Ravens,Miami Dolphins,https://www.pro-football-reference.com/boxscores/201909080mia.htm,2019-09-08,Chandler Cox,Preston Williams,DeVante Parker,Charles Harris,Jonathan Ledbetter,Xavien Howard,Eric Rowe,Minkah Fitzpatrick,Reshad Jones,,,Chris Wormley,,Michael Pierce,Brandon Williams,Matt Judon,,,,,,,,,Pernell McPhee,,,,Jesse Davis,Bobby McCain,Matt Skura,Patrick Ricard,Marshal Yanda,Kenny Young,Patrick Onwuasor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,27,outdoors,grass,-10.5,Philadelphia Eagles,44.0,69696,13,28,0,31,123,1,30,44,380,3,0,28,39,313,3,0,1,10,1,0,398,436,0,0,0,0,0,0,12,96,6,55,13,5,17,11,2,2,2,1,0.43,0.57,10,72,3,1,4,10,60,5,2,3,Carson Wentz,Darren Sproles,,,Zach Ertz,,Isaac Seumalo,Jason Peters,Lane Johnson,Brandon Brooks,Jason Kelce,Malik Jackson,Fletcher Cox,,Zach Brown,Nigel Bradham,,,Avonte Maddox,,,,,Case Keenum,Derrius Guice,,Paul Richardson,Terry McLaurin,Jeremy Sprinkle,Ereck Flowers,Morgan Moses,Donald Penn,Brandon Scherff,Jonathan Allen,Daron Payne,,Montez Sweat,Ryan Kerrigan,Cole Holcomb,Jimmy Moreland,Quinton Dunbar,Montae Nicholson,Landon Collins,,2019,1.0,Washington Redskins,Philadelphia Eagles,https://www.pro-football-reference.com/boxscores/201909080phi.htm,2019-09-08,,Nelson Agholor,DeSean Jackson,Derek Barnett,Brandon Graham,Rasul Douglas,Ronald Darby,Malcolm Jenkins,Rodney McLeod,,Chase Roullier,,,,,,Alshon Jeffery,,,,,,Trey Quinn,,,,,,,,,,,,,Jonathan Bostic,Josh Norman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,20,outdoors,fieldturf,-9.5,Seattle Seahawks,44.0,68710,14,34,0,25,72,1,35,51,418,2,0,14,20,195,2,0,5,23,4,35,429,232,4,3,1,1,3,1,7,57,8,55,15,6,12,4,1,0,0,0,0.6,0.4,14,49,8,0,3,12,73,4,2,2,Russell Wilson,Chris Carson,,,Will Dissly,,Duane Brown,D.J. Fluker,Justin Britt,,,Poona Ford,Al Woods,,Mychal Kendricks,Bobby Wagner,K.J. Wright,,,,,,,Andy Dalton,,,Damion Willis,Tyler Boyd,C.J. Uzomah,Andre Smith,Bobby Hart,Michael Jordan,John Miller,,,,Preston Brown,Nick Vigil,,Dre Kirkpatrick,William Jackson III,Shawn Williams,Jessie Bates III,,2019,1.0,Cincinnati Bengals,Seattle Seahawks,https://www.pro-football-reference.com/boxscores/201909080sea.htm,2019-09-08,,Jaron Brown,D.K. Metcalf,Quinton Jefferson,Rasheem Green,Shaquill Griffin,Tre Flowers,,,,,Carlos Dunlap,Sam Hubbard,Geno Atkins,Ryan Glasgow,,Tyler Lockett,,,,,B.W. Webb,John Ross,Bradley McDougald,,,,,,,,,,,,,,Ethan Pocic,Germain Ifedi,Tedric Thompson,Trey Hopkins,Joe Mixon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,24,outdoors,grass,-6.0,Los Angeles Chargers,44.5,25363,33,203,1,21,125,1,21,27,190,2,0,25,34,333,3,1,2,17,4,23,376,435,1,0,2,1,0,2,3,10,3,20,13,7,11,7,1,1,0,0,0.49,0.51,9,60,2,1,4,9,65,3,1,3,Philip Rivers,Austin Ekeler,,,Hunter Henry,,Trenton Scott,Sam Tevi,Dan Feeney,Mike Pouncey,,Justin Jones,,Brandon Mebane,Thomas Davis,Kyzir White,,,Desmond King,,,,,Jacoby Brissett,Nyheim Hines,,Devin Funchess,Zach Pascal,Jack Doyle,Anthony Castonzo,Mark Glowinski,Ryan Kelly,,,,,Shaquille Leonard,Anthony Walker,,Kenny Moore,Pierre Desir,Malik Hooker,Clayton Geathers,,2019,1.0,Indianapolis Colts,Los Angeles Chargers,https://www.pro-football-reference.com/boxscores/201909080sdg.htm,2019-09-08,,Mike Williams,Keenan Allen,Melvin Ingram,Joey Bosa,Casey Hayward,Michael Davis,Rayshawn Jenkins,Adrian Phillips,,,Justin Houston,Al-Quadin Muhammad,Margus Hunt,,,,,,,,Rock Ya-Sin,T.Y. Hilton,,,,,,Michael Schofield,,Quenton Nelson,,Braden Smith,,,,,,,,,,Travis Benjamin,Denico Autry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
