home_score,away_score,roof,surface,spread,favored_team,vegas_total,attendance,away_rush_attempts,away_rush_yards,away_rush_tds,home_rush_attempts,home_rush_yards,home_rush_tds,away_pass_completions,away_pass_attempts,away_pass_yards,away_pass_tds,away_pass_ints,home_pass_completions,home_pass_attempts,home_pass_yards,home_pass_tds,home_pass_ints,away_sacked,away_sacked_yds,home_sacked,home_sacked_yds,away_total_yds,home_total_yds,away_fumbles,away_fumbles_lost,home_fumbles,home_fumbles_lost,away_turnovers,home_turnovers,away_penalties,away_penalties_yds,home_penalties,home_penalties_yds,away_third_down_attempts,away_third_down_converted,home_third_down_attempts,home_third_down_converted,away_fourth_down_attempts,away_fourth_down_converted,home_fourth_down_attempts,home_fourth_down_converted,away_possession_pct,home_possession_pct,home_drives,home_total_plays,home_punts,home_field_goals,home_touchdowns,vis_drives,vis_total_plays,vis_punts,vis_field_goals,vis_touchdowns,home_qb,home_rb,home_wr,home_wr2,home_wr3,home_te,home_ol1,home_ol2,home_ol3,home_ol4,home_ol5,home_dt,home_dt2,home_dt3,home_olb,home_lb,home_lb2,home_cb,home_s,home_db,home_db2,home_db3,vis_qb,vis_rb,vis_wr,vis_wr2,vis_wr3,vis_te,vis_ol1,vis_ol2,vis_ol3,vis_ol4,vis_ol5,vis_de,vis_dt,vis_dt2,vis_lb,vis_lb2,vis_lb3,vis_cb,vis_cb2,vis_cb3,vis_s,vis_s2,season,week,away_team,home_team,game_url,date,home_dl,home_lb3,home_cb2,home_ss,vis_te2,vis_de2,vis_fs,home_de,home_de2,home_s2,vis_s3,home_dt4,home_db4,home_db5,home_te2,home_cb3,vis_lb4,vis_db,home_ol6,home_dl2,home_dl3,home_dl4,home_nt,vis_olb,vis_olb2,home_fb,home_lb4,vis_dl,vis_db2,vis_db3,vis_db4,home_te3,vis_fb,vis_dt3,home_olb2,vis_dl2,vis_dl3,home_rb2,home_fs,home_s3,vis_rb2,vis_ss,vis_mlb,vis_te3,vis_dl4,vis_db5,home_cb4,home_de3,vis_de3,vis_olb3,home_mlb,vis_ol6,vis_dt4,home_olb3,vis_olb4,home_db6,home_wr4,home_olb4,vis_wr4,home_fs2
10,31,dome,matrixturf,-2.5,Buffalo Bills,52.0,73846,25,121,1,18,52,0,26,31,297,3,2,29,41,240,1,3,2,5,7,49,413,243,2,2,1,0,4,3,5,35,4,30,10,9,13,6,0,0,3,2,0.52,0.48,10,67,4,1,1,10,59,0,1,4,Matthew Stafford,Darrell Henderson,Ben Skowronek,Allen Robinson,Cooper Kupp,Tyler Higbee,Brian Allen,David Edwards,Coleman Shelton,Rob Havenstein,Joseph Noteboom,Aaron Donald,A'Shawn Robinson,Greg Gaines,Leonard Floyd,Ernest Jones,Bobby Wagner,Troy Hill,Nick Scott,Jalen Ramsey,Taylor Rapp,Jordan Fuller,Josh Allen,Devin Singletary,Isaiah McKenzie,Gabriel Davis,Stefon Diggs,Dawson Knox,Ryan Bates,Dion Dawkins,Spencer Brown,Rodger Saffold,Mitch Morse,Gregory Rousseau,DaQuan Jones,Ed Oliver,Tremaine Edmunds,Matt Milano,Von Miller,Dane Jackson,Taron Johnson,Christian Benford,Micah Hyde,Jordan Poyer,2022,1.0,Buffalo Bills,Los Angeles Rams,https://www.pro-football-reference.com/boxscores/202209080ram.htm,2022-09-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,27,retractable roof (closed),fieldturf,-5.5,New Orleans Saints,43.5,70078,19,151,1,38,201,2,23,34,269,2,0,20,33,215,0,0,4,35,0,0,385,416,1,1,3,2,1,2,8,99,8,55,13,4,13,5,0,0,0,0,0.44,0.56,13,76,4,4,2,12,60,5,2,3,Marcus Mariota,Damien Williams,Olamide Zaccheaus,KhaDarel Hodge,Bryan Edwards,Kyle Pitts,Drew Dalman,Elijah Wilkinson,Jake Matthews,Kaleb McGary,Chris Lindstrom,Grady Jarrett,Anthony Rush,,Adetokunbo Ogundeji,Lorenzo Carter,Mykal Walker,AJ Terrell,Richie Grant,,,,Jameis Winston,Alvin Kamara,Michael Thomas,Jarvis Landry,,Adam Trautman,Erik McCoy,Cesar Ruiz,Andrus Peat,James Hurst,Ryan Ramczyk,Marcus Davenport,David Onyemata,Shy Tuttle,Pete Werner,Demario Davis,,Marshon Lattimore,Bradley Roby,,Marcus Maye,Justin Evans,2022,1.0,New Orleans Saints,Atlanta Falcons,https://www.pro-football-reference.com/boxscores/202209110atl.htm,2022-09-11,Ta'Quon Graham,Rashaan Evans,Casey Hayward,Jaylinn Hawkins,Taysom Hill,Cameron Jordan,Tyrann Mathieu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,26,outdoors,grass,-1.5,Carolina Panthers,42.0,72205,39,217,1,19,54,2,18,34,147,1,0,16,27,235,1,1,1,9,4,28,355,261,1,0,5,0,0,1,9,71,8,96,18,8,11,4,2,1,0,0,0.64,0.36,12,51,5,1,3,11,78,4,4,2,Baker Mayfield,Christian McCaffrey,Shi Smith,D.J. Moore,Robbie Chosen,Ian Thomas,Austin Corbett,Brady Christensen,Ikem Ekwonu,Taylor Moton,Pat Elflein,Derrick Brown,Matthew Ioannidis,,,Frankie Luvu,Shaq Thompson,Donte Jackson,Jeremy Chinn,,,,Jacoby Brissett,Nick Chubb,Donovan Peoples-Jones,Amari Cooper,David Bell,David Njoku,James Hudson,Jedrick Wills Jr.,Wyatt Teller,Joel Bitonio,Ethan Pocic,Myles Garrett,Jordan Elliott,Taven Bryan,Jeremiah Owusu-Koramoah,Anthony Walker,,Greg Newsome II,Denzel Ward,,Ronnie Harrison,Grant Delpit,2022,1.0,Cleveland Browns,Carolina Panthers,https://www.pro-football-reference.com/boxscores/202209110car.htm,2022-09-11,,Damien Wilson,Jaycee Horn,,,Jadeveon Clowney,,Brian Burns,Yetur Gross-Matos,Xavier Woods,John Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,10,outdoors,grass,-6.0,San Francisco 49ers,38.0,62159,37,176,1,37,99,1,13,28,164,0,1,8,17,121,2,1,2,9,2,16,331,204,2,1,0,0,2,1,12,99,3,24,17,8,14,5,2,0,0,0,0.56,0.44,11,56,6,0,3,11,68,4,1,1,Justin Fields,David Montgomery,Equanimeous St. Brown,Dante Pettis,Darnell Mooney,Cole Kmet,Cody Whitehair,Sam Mustipher,Braxton Jones,Teven Jenkins,Larry Borom,Justin Jones,Al-Quadin Muhammad,Robert Quinn,,Nicholas Morrow,Roquan Smith,,,Jaylon Johnson,Eddie Jackson,Kyler Gordon,Trey Lance,Elijah Mitchell,Brandon Aiyuk,Deebo Samuel,Jauan Jennings,Tyler Kroft,Aaron Banks,Jake Brendel,Spencer Burford,Trent Williams,Mike McGlinchey,Nick Bosa,Arik Armstead,Javon Kinlaw,Dre Greenlaw,Fred Warner,,Emmanuel Moseley,Charvarius Ward,Samuel Womack,Talanoa Hufanga,Tashaun Gipson,2022,1.0,San Francisco 49ers,Chicago Bears,https://www.pro-football-reference.com/boxscores/202209110chi.htm,2022-09-11,,,,,,Samson Ebukam,,,,,,Angelo Blackson,Jaquan Brisker,Kindle Vildor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,23,outdoors,fieldturf,-7.0,Cincinnati Bengals,44.0,65841,22,75,0,34,133,0,21,38,194,1,0,33,53,338,2,4,1,2,7,39,267,432,1,0,2,1,0,5,8,59,4,27,15,4,16,8,0,0,3,1,0.38,0.62,14,97,3,2,2,14,65,8,3,1,Joe Burrow,Joe Mixon,Ja'Marr Chase,Tee Higgins,,Drew Sample,Cordell Volson,Jonah Williams,La'el Collins,Alex Cappa,Ted Karras,D.J. Reader,B.J. Hill,,,Logan Wilson,Germaine Pratt,Mike Hilton,Vonn Bell,,,,Mitchell Trubisky,Najee Harris,Chase Claypool,George Pickens,Diontae Johnson,Pat Freiermuth,Mason Cole,James Daniels,Kevin Dotson,Chukwuma Okorafor,Dan Moore,,Cameron Heyward,Larry Ogunjobi,Myles Jack,T.J. Watt,Devin Bush Jr.,Cameron Sutton,Ahkello Witherspoon,,Minkah Fitzpatrick,Terrell Edmunds,2022,1.0,Pittsburgh Steelers,Cincinnati Bengals,https://www.pro-football-reference.com/boxscores/202209110cin.htm,2022-09-11,,,Eli Apple,,,,,Trey Hendrickson,Sam Hubbard,Jessie Bates III,,,,,Hayden Hurst,Chidobe Awuzie,Alex Highsmith,Tre Norwood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,20,retractable roof (closed),astroturf,-7.0,Indianapolis Colts,45.5,69415,38,177,1,28,77,0,32,50,352,1,1,23,37,240,2,0,2,12,3,18,517,299,5,1,1,1,2,1,7,89,6,40,15,6,15,5,1,0,0,0,0.57,0.43,14,70,7,2,2,13,93,4,2,2,Davis Mills,Dameon Pierce,Nico Collins,Brandin Cooks,,Pharaoh Brown,Laremy Tunsil,Justin Britt,Justin McCray,Tytus Howard,Charlie Heck,,,,,Christian Kirksey,Kamu Grugier-Hill,,,Desmond King,Steven Nelson,Jonathan Owens,Matt Ryan,Jonathan Taylor,Parris Campbell,Alec Pierce,Michael Pittman Jr.,Mo Alie-Cox,Quenton Nelson,Braden Smith,Matt Pryor,Danny Pinter,Ryan Kelly,Yannick Ngakoue,DeForest Buckner,Grover Stewart,E.J. Speed,Bobby Okereke,Zaire Franklin,Kenny Moore,Stephon Gilmore,,Nick Cross,Julian Blackmon,2022,1.0,Indianapolis Colts,Houston Texans,https://www.pro-football-reference.com/boxscores/202209110htx.htm,2022-09-11,Jerry Hughes,,,,,Kwity Paye,,,,,,,Jalen Pitre,Derek Stingley Jr.,,,,,A.J. Cann,Roy Lopez,Jonathan Greenard,Maliek Collins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,38,dome,fieldturf,-6.0,Philadelphia Eagles,48.5,64537,39,216,4,28,181,3,18,32,243,0,0,21,37,215,2,1,1,4,1,10,455,386,0,0,1,0,0,1,10,61,7,65,17,10,14,9,3,2,1,1,0.53,0.47,11,66,4,0,5,10,73,3,1,4,Jared Goff,D'Andre Swift,DJ Chark,Amon-Ra St. Brown,Josh Reynolds,T.J. Hockenson,Taylor Decker,Penei Sewell,Jonah Jackson,Logan Stenberg,Frank Ragnow,,,,Charles Harris,Derrick Barnes,Malcolm Rodriguez,Amani Oruwariye,DeShon Elliott,,,,Jalen Hurts,Miles Sanders,A.J. Brown,DeVonta Smith,,Jack Stoll,Jordan Mailata,Lane Johnson,Landon Dickerson,Isaac Seumalo,Jason Kelce,Josh Sweat,Javon Hargrave,Fletcher Cox,Haason Reddick,T.J. Edwards,Kyzir White,James Bradberry,Avonte Maddox,Darius Slay,C.J. Gardner-Johnson,Marcus Epps,2022,1.0,Philadelphia Eagles,Detroit Lions,https://www.pro-football-reference.com/boxscores/202209110det.htm,2022-09-11,,Alex Anzalone,Jeff Okudah,,Dallas Goedert,,,Michael Brockers,Aidan Hutchinson,Tracy Walker,,,,,,,,,,,,,Alim McNeill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,22,outdoors,grass,-3.0,Washington Commanders,43.0,58192,18,123,1,28,85,0,24,42,275,1,1,27,41,313,4,2,2,15,1,8,383,390,1,0,1,1,1,3,13,90,6,63,12,3,10,7,1,0,0,0,0.44,0.56,12,70,3,0,4,11,66,3,3,2,Carson Wentz,Antonio Gibson,Terry McLaurin,Jahan Dotson,,John Bates,Charles Leno Jr.,Samuel Cosmi,Andrew Norwell,Wes Schweitzer,Chase Roullier,Daron Payne,Jonathan Allen,,,Cole Holcomb,Jamin Davis,Kendall Fuller,Darrick Forrest,,,,Trevor Lawrence,James Robinson,Christian Kirk,Zay Jones,Marvin Jones,Evan Engram,Ben Bartch,Jawaan Taylor,Cam Robinson,Luke Fortner,Brandon Scherff,Roy Robertson-Harris,DaVon Hamilton,Folorunso Fatukasi,Devin Lloyd,Foyesade Oluokun,,Shaquill Griffin,Tyson Campbell,,Rayshawn Jenkins,Andre Cisco,2022,1.0,Jacksonville Jaguars,Washington Commanders,https://www.pro-football-reference.com/boxscores/202209110was.htm,2022-09-11,,,William Jackson III,,,,,James Smith-Williams,Montez Sweat,Bobby McCain,,,,,Logan Thomas,Benjamin St-Juste,,,,,,,,Josh Hines-Allen,Travon Walker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,7,outdoors,grass,-3.0,Miami Dolphins,46.0,65786,22,78,0,23,65,0,21,30,213,1,1,23,33,270,1,0,2,20,3,28,271,307,2,2,2,0,3,0,3,15,4,20,9,4,14,6,1,0,1,1,0.46,0.54,8,61,4,2,1,9,54,3,0,1,Tua Tagovailoa,Chase Edmonds,Jaylen Waddle,Tyreek Hill,,Durham Smythe,Connor Williams,Liam Eichenberg,Robert Hunt,Austin Jackson,Terron Armstead,Zach Sieler,Raekwon Davis,Christian Wilkins,,Melvin Ingram,Jaelan Phillips,Nik Needham,Brandon Jones,,,,Mac Jones,Damien Harris,DeVante Parker,Jakobi Meyers,,Hunter Henry,Trent Brown,Isaiah Wynn,Cole Strange,Michael Onwenu,David Andrews,,Davon Godchaux,Lawrence Guy,Ja'Whaun Bentley,Raekwon McMillan,Matt Judon,Jalen Mills,,,,,2022,1.0,New England Patriots,Miami Dolphins,https://www.pro-football-reference.com/boxscores/202209110mia.htm,2022-09-11,,Elandon Roberts,Xavien Howard,,Jonnu Smith,,,,,Jevon Holland,,,,,,,,Adrian Phillips,,,,,,,,Alec Ingold,Jerome Baker,Deatrich Wise Jr.,Devin McCourty,Jonathan Jones,Kyle Dugger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,24,outdoors,fieldturf,-6.5,Baltimore Ravens,44.0,78827,21,63,0,17,83,0,17,30,213,3,1,37,59,309,1,1,2,2,3,12,274,380,1,0,2,1,1,2,5,29,6,81,13,5,14,2,0,0,4,3,0.46,0.54,12,81,6,1,1,13,54,6,1,3,Joe Flacco,Michael Carter,Elijah Moore,,,Lawrence Cager,Max Mitchell,Alijah Vera-Tucker,Connor McGovern,George Fant,Laken Tomlinson,Sheldon Rankins,John Franklin-Myers,Quinnen Williams,,Kwon Alexander,C.J. Mosley,Sauce Gardner,Lamarcus Joyner,,,,Lamar Jackson,Kenyan Drake,Rashod Bateman,Devin Duvernay,,Mark Andrews,Ja'Wuan James,Morgan Moses,Ben Powers,Kevin Zeitler,Tyler Linderbaum,,Nnamdi Madubuike,Calais Campbell,Malik Harrison,Patrick Queen,Josh Bynes,Marlon Humphrey,Kyle Fuller,,Chuck Clark,Marcus Williams,2022,1.0,Baltimore Ravens,New York Jets,https://www.pro-football-reference.com/boxscores/202209110nyj.htm,2022-09-11,,Quincy Williams,D.J. Reed,,,,,Carl Lawson,,Jordan Whitehead,,,,,Tyler Conklin,,,,,,,,,Odafe Oweh,,,,,,,,C.J. Uzomah,Patrick Ricard,Michael Pierce,,,,,,,,,,,,,,,,,,,,,,,,,,
