home_score,away_score,roof,surface,spread,favored_team,vegas_total,attendance,away_rush_attempts,away_rush_yards,away_rush_tds,home_rush_attempts,home_rush_yards,home_rush_tds,away_pass_completions,away_pass_attempts,away_pass_yards,away_pass_tds,away_pass_ints,home_pass_completions,home_pass_attempts,home_pass_yards,home_pass_tds,home_pass_ints,away_sacked,away_sacked_yds,home_sacked,home_sacked_yds,away_total_yds,home_total_yds,away_fumbles,away_fumbles_lost,home_fumbles,home_fumbles_lost,away_turnovers,home_turnovers,away_penalties,away_penalties_yds,home_penalties,home_penalties_yds,away_third_down_attempts,away_third_down_converted,home_third_down_attempts,home_third_down_converted,away_fourth_down_attempts,away_fourth_down_converted,home_fourth_down_attempts,home_fourth_down_converted,away_possession_pct,home_possession_pct,home_drives,home_total_plays,home_punts,home_field_goals,home_touchdowns,vis_drives,vis_total_plays,vis_punts,vis_field_goals,vis_touchdowns,home_qb,home_rb,home_wr,home_wr2,home_wr3,home_te,home_ol1,home_ol2,home_ol3,home_ol4,home_ol5,home_de,home_de2,home_dt,home_dt2,home_lb,home_lb2,home_cb,home_cb2,home_s,home_s2,home_db,vis_qb,vis_rb,vis_wr,vis_wr2,vis_wr3,vis_te,vis_ol1,vis_ol2,vis_ol3,vis_ol4,vis_ol5,vis_dl,vis_dl2,vis_dl3,vis_dl4,vis_dl5,vis_lb,vis_lb2,vis_cb,vis_cb2,vis_s,vis_db,season,week,away_team,home_team,game_url,date,home_fb,home_te2,home_dl,home_dl2,home_dl3,home_olb,home_cb3,vis_dt,vis_dt2,vis_olb,vis_olb2,vis_s2,vis_s3,vis_de,vis_de2,vis_cb3,vis_lb3,home_nt,home_lb3,vis_fb,vis_mlb,home_olb2,home_s3,vis_te2,vis_dt3,home_dt3,home_lb4,home_dl4,home_dl5,home_db2,home_db3,home_db4,vis_lb4,vis_ol6,home_fs,vis_nt,vis_db2,vis_db3,vis_db4,vis_olb3,home_rb2,home_mlb,vis_fs,home_db5,home_wr4,home_te3,vis_te3,home_lb5,vis_db5,vis_ss,vis_s4,vis_wr4,home_ol6,vis_cb4,home_ss,vis_rb2,home_s4,home_olb3,home_te4
20,21,outdoors,grass,-3.5,Kansas City Chiefs,53.5,73522,34,118,1,23,90,0,22,35,253,1,0,21,39,226,2,1,1,3,0,0,368,316,2,1,0,0,1,1,4,63,3,25,15,5,14,5,3,1,1,0,0.54,0.46,11,64,5,2,2,11,70,5,0,2,Patrick Mahomes,Clyde Edwards-Helaire,Marquez Valdes-Scantling,Kadarius Toney,Skyy Moore,Noah Gray,Jawaan Taylor,Donovan Smith,Joe Thuney,Trey Smith,Creed Humphrey,Michael Danna,George Karlaftis III,Tershawn Wharton,Derrick Nnadi,Willie Gay Jr.,Nick Bolton,L'Jarius Sneed,Trent McDuffie,Justin Reid,Bryan Cook,Chamarri Conner,Jared Goff,David Montgomery,Amon-Ra St. Brown,Josh Reynolds,Marvin Jones,Sam LaPorta,Penei Sewell,Taylor Decker,Halapoulivaati Vaitai,Jonah Jackson,Frank Ragnow,Benito Jones,Aidan Hutchinson,Alim McNeill,Charles Harris,John Cominsky,Derrick Barnes,Alex Anzalone,Jerry Jacobs,Cameron Sutton,Kerby Joseph,C.J. Gardner-Johnson,2023,1.0,Detroit Lions,Kansas City Chiefs,https://www.pro-football-reference.com/boxscores/202309070kan.htm,2023-09-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,10,retractable roof (closed),fieldturf,-3.5,Atlanta Falcons,39.5,69597,32,154,0,26,130,2,20,38,146,1,2,15,18,115,1,0,2,19,4,24,281,221,2,1,1,0,3,0,9,66,6,43,14,5,10,2,2,0,0,0,0.58,0.42,13,49,7,1,3,12,73,5,1,1,Desmond Ridder,Bijan Robinson,Drake London,,,MyCole Pruitt,Matthew Bergeron,Drew Dalman,Jake Matthews,Kaleb McGary,Chris Lindstrom,,,,,Troy Andersen,Kaden Elliss,Tre Flowers,DeAundre Alford,Richie Grant,Jessie Bates III,,Bryce Young,Miles Sanders,Adam Thielen,Jonathan Mingo,Terrace Marshall Jr.,Hayden Hurst,Bradley Bozeman,Taylor Moton,Ikem Ekwonu,Chandler Zavala,Brady Christensen,,,,,,Frankie Luvu,Shaq Thompson,Donte Jackson,Jaycee Horn,Jeremy Chinn,,2023,1.0,Carolina Panthers,Atlanta Falcons,https://www.pro-football-reference.com/boxscores/202309100atl.htm,2023-09-10,Keith Smith,Kyle Pitts,Calais Campbell,Grady Jarrett,David Onyemata,Bud Dupree,AJ Terrell,Shy Tuttle,Derrick Brown,Justin Houston,Brian Burns,Xavier Woods,Vonn Bell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,3,outdoors,grass,-1.5,Cincinnati Bengals,47.5,67919,20,75,0,40,206,1,14,32,82,0,0,16,29,154,1,1,2,15,3,10,142,350,0,0,2,1,0,2,4,20,5,43,15,2,14,4,1,0,0,0,0.4,0.6,14,75,7,3,2,15,56,10,1,0,Deshaun Watson,Nick Chubb,Amari Cooper,Donovan Peoples-Jones,Elijah Moore,David Njoku,Jack Conklin,Jedrick Wills Jr.,Joel Bitonio,Wyatt Teller,Ethan Pocic,Myles Garrett,Za'Darius Smith,Jordan Elliott,Dalvin Tomlinson,Jeremiah Owusu-Koramoah,Anthony Walker,Martin Emerson,Greg Newsome II,Rodney McLeod,Grant Delpit,,Joe Burrow,Joe Mixon,Tyler Boyd,Ja'Marr Chase,Tee Higgins,Irv Smith Jr.,Orlando Brown Jr.,Jonah Williams,Alex Cappa,Cordell Volson,Ted Karras,,,,,,Germaine Pratt,Logan Wilson,Chidobe Awuzie,Mike Hilton,Nick Scott,,2023,1.0,Cincinnati Bengals,Cleveland Browns,https://www.pro-football-reference.com/boxscores/202309100cle.htm,2023-09-10,,,,,,,Denzel Ward,D.J. Reader,B.J. Hill,,,Daxton Hill,,Sam Hubbard,Trey Hendrickson,Cam Taylor-Britt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,31,retractable roof (closed),fieldturf,-3.5,Jacksonville Jaguars,46.5,65749,35,105,2,26,65,1,24,32,241,2,1,24,39,223,1,1,2,4,4,8,342,280,3,1,2,2,2,3,4,45,4,35,12,3,12,2,3,1,5,1,0.56,0.44,14,69,5,0,2,15,70,5,1,4,Anthony Richardson,Deon Jackson,Josh Downs,Michael Pittman Jr.,Alec Pierce,Andrew Ogletree,Will Fries,Braden Smith,Bernhard Raimann,Quenton Nelson,Ryan Kelly,Samson Ebukam,Kwity Paye,Grover Stewart,DeForest Buckner,Shaquille Leonard,Zaire Franklin,Kenny Moore,Dallis Flowers,Rodney Thomas II,Julian Blackmon,,Trevor Lawrence,Travis Etienne,Calvin Ridley,Christian Kirk,Zay Jones,Evan Engram,Ben Bartch,Brandon Scherff,Walker Little,Luke Fortner,Anton Harrison,Folorunso Fatukasi,Roy Robertson-Harris,,,,Devin Lloyd,Foyesade Oluokun,Tre Herndon,Tyson Campbell,Rayshawn Jenkins,,2023,1.0,Jacksonville Jaguars,Indianapolis Colts,https://www.pro-football-reference.com/boxscores/202309100clt.htm,2023-09-10,,,,,,,Darrell Baker,,,Josh Hines-Allen,Travon Walker,Andre Cisco,,,,Darious Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,16,outdoors,grass,-6.5,Washington Commanders,38.5,64693,25,96,0,28,92,1,21,30,132,0,0,19,31,202,1,1,3,18,6,46,210,248,3,2,2,2,2,3,9,122,8,70,14,4,12,4,1,0,0,0,0.48,0.52,13,67,6,2,2,11,61,5,3,0,Sam Howell,Brian Robinson Jr.,Jahan Dotson,Terry McLaurin,,John Bates,Andrew Wylie,Saahdiq Charles,Samuel Cosmi,Charles Leno Jr.,Nick Gates,James Smith-Williams,Montez Sweat,Jonathan Allen,Daron Payne,Jamin Davis,Cody Barton,Kendall Fuller,Emmanuel Forbes,Darrick Forrest,Kamren Curl,,Joshua Dobbs,James Conner,Marquise Brown,Michael Wilson,Rondale Moore,Zach Ertz,Will Hernandez,Elijah Wilkinson,Paris Johnson,D.J. Humphries,Hjalte Froholdt,Jonathan Ledbetter,L.J. Collier,,,,Zaven Collins,Kyzir White,Marco Wilson,Kei'Trel Clark,Budda Baker,,2023,1.0,Arizona Cardinals,Washington Commanders,https://www.pro-football-reference.com/boxscores/202309100was.htm,2023-09-10,,Logan Thomas,,,,,Benjamin St-Juste,Leki Fotu,,Victor Dimukeje,,Jalen Thompson,,,,,Josh Woods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,9,outdoors,grass,-9.5,Baltimore Ravens,43.5,70136,23,72,0,32,110,3,28,44,242,0,0,17,22,169,0,1,5,46,4,14,268,265,1,1,2,1,1,2,9,88,13,106,18,7,15,8,4,1,0,0,0.48,0.52,11,59,5,1,3,12,75,4,3,0,Lamar Jackson,J.K. Dobbins,Odell Beckham Jr.,Zay Flowers,Nelson Agholor,Isaiah Likely,Morgan Moses,Ronnie Stanley,John Simpson,Kevin Zeitler,Tyler Linderbaum,,,Nnamdi Madubuike,Broderick Washington Jr.,Malik Harrison,Patrick Queen,Ronald Darby,,Kyle Hamilton,Marcus Williams,Brandon Stephens,C.J. Stroud,Dameon Pierce,Robert Woods,Nico Collins,,Teagan Quitoriano,Jarrett Patterson,George Fant,Laremy Tunsil,Josh Jones,Shaq Mason,,,,,,Christian Harris,,Steven Nelson,Derek Stingley Jr.,Jalen Pitre,,2023,1.0,Houston Texans,Baltimore Ravens,https://www.pro-football-reference.com/boxscores/202309100rav.htm,2023-09-10,,,,,,Odafe Oweh,,Sheldon Rankins,Maliek Collins,,,Eric Murray,,Will Anderson,Jonathan Greenard,Tavierre Thomas,,Michael Pierce,Roquan Smith,Andrew Beck,Denzel Perryman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,20,dome,sportturf,-4.5,Minnesota Vikings,45.5,66741,33,73,0,17,41,0,21,34,173,2,0,33,44,344,2,1,1,4,2,16,242,369,0,0,2,2,0,3,3,19,6,45,17,6,14,6,1,1,0,0,0.51,0.49,11,64,5,1,2,12,70,6,2,2,Kirk Cousins,Alexander Mattison,K.J. Osborn,Justin Jefferson,,T.J. Hockenson,Christian Darrisaw,Brian O'Neill,Ezra Cleveland,Ed Ingram,Garrett Bradbury,,,,,Jordan Hicks,,Byron Murphy,Akayleb Evans,Josh Metellus,Camryn Bynum,,Baker Mayfield,Rachaad White,Mike Evans,Chris Godwin,,Cade Otton,Matt Feiler,Robert Hainsey,Tristan Wirfs,Luke Goedeke,Cody Mauch,Logan Hall,Calijah Kancey,Vita Vea,,,Lavonte David,Devin White,Jamel Dean,Carlton Davis,Ryan Neal,,2023,1.0,Tampa Bay Buccaneers,Minnesota Vikings,https://www.pro-football-reference.com/boxscores/202309100min.htm,2023-09-10,,Josh Oliver,Jonathan Bullard,Harrison Phillips,Dean Lowry,Danielle Hunter,,,,Joe Tryon-Shoyinka,Shaquil Barrett,Antoine Winfield Jr.,,,,,,,,,,D.J. Wonnum,Harrison Smith,Ko Kieft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,15,dome,sportturf,-3.0,New Orleans Saints,41.5,70024,22,104,0,27,69,0,16,34,198,0,3,23,33,305,1,1,3,17,4,23,285,351,0,0,2,1,3,2,6,45,7,45,12,2,16,7,0,0,0,0,0.52,0.48,11,67,5,3,1,12,64,3,5,0,Derek Carr,Jamaal Williams,Michael Thomas,Chris Olave,,Juwan Johnson,Erik McCoy,Cesar Ruiz,James Hurst,Trevor Penning,Ryan Ramczyk,Cameron Jordan,Carl Granderson,Khalen Saunders,Nathan Shepherd,Demario Davis,Pete Werner,Marshon Lattimore,Paulson Adebo,Tyrann Mathieu,Marcus Maye,,Ryan Tannehill,Derrick Henry,Treylon Burks,DeAndre Hopkins,,Trevon Wesco,Aaron Brewer,Daniel Brunskill,Peter Skoronski,Chris Hubbard,Andre Dillard,Denico Autry,,,,,Jack Gibbens,Azeez Al-Shaair,Kristian Fulton,Sean Murphy-Bunting,Kevin Byard,Amani Hooker,2023,1.0,Tennessee Titans,New Orleans Saints,https://www.pro-football-reference.com/boxscores/202309100nor.htm,2023-09-10,,Foster Moreau,,,,,,Kyle Peko,Jeffery Simmons,Harold Landry,,,,,,,,,Zack Baun,,,,,Chigoziem Okonkwo,Teair Tart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,30,outdoors,grass,-1.5,San Francisco 49ers,41.5,67679,34,188,1,10,41,0,19,29,220,2,0,31,46,232,1,2,3,17,5,34,391,239,3,1,0,0,1,2,11,85,6,60,13,6,15,5,1,1,3,1,0.62,0.38,11,61,6,0,1,12,69,3,3,3,Kenny Pickett,Najee Harris,Allen Robinson,Diontae Johnson,George Pickens,Pat Freiermuth,James Daniels,Chukwuma Okorafor,Dan Moore,Isaac Seumalo,Mason Cole,,,Montravius Adams,Cameron Heyward,T.J. Watt,Elandon Roberts,Patrick Peterson,Levi Wallace,Keanu Neal,Minkah Fitzpatrick,,Brock Purdy,Christian McCaffrey,Brandon Aiyuk,Deebo Samuel,,George Kittle,Aaron Banks,Jake Brendel,Spencer Burford,Colton McKivitz,Trent Williams,Javon Hargrave,Clelin Ferrell,Nick Bosa,Arik Armstead,,Dre Greenlaw,Fred Warner,Ambry Thomas,Charvarius Ward,Talanoa Hufanga,Deommodore Lenoir,2023,1.0,San Francisco 49ers,Pittsburgh Steelers,https://www.pro-football-reference.com/boxscores/202309100pit.htm,2023-09-10,,,,,,,,,,,,Tashaun Gipson,,,,,,,Cole Holcomb,Kyle Juszczyk,,,,,,Larry Ogunjobi,Alex Highsmith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,38,outdoors,grass,-1.5,Chicago Bears,41.5,62456,32,92,1,29,122,1,15,27,245,3,0,24,37,216,1,1,1,8,4,27,329,311,2,0,1,1,0,2,9,90,7,61,16,9,13,3,2,1,2,1,0.49,0.51,12,72,4,2,2,11,61,5,1,4,Justin Fields,Khalil Herbert,Chase Claypool,D.J. Moore,Darnell Mooney,Cole Kmet,Braxton Jones,Darnell Wright,Cody Whitehair,Lucas Patrick,Nate Davis,,,,,T.J. Edwards,Tremaine Edmunds,,,,,Jaylon Johnson,Jordan Love,Aaron Jones,Jayden Reed,Malik Heath,,Josiah Deguara,Zach Tom,Josh Myers,Elgton Jenkins,David Bakhtiari,Jon Runyan Jr.,Kenny Clark,Tedarrell Slaton,,,,Kingsley Enagbare,De'Vondre Campbell,Rasul Douglas,Keisean Nixon,Rudy Ford,,2023,1.0,Green Bay Packers,Chicago Bears,https://www.pro-football-reference.com/boxscores/202309100chi.htm,2023-09-10,,,Andrew Billings,Justin Jones,Yannick Ngakoue,,,,,,,Darnell Savage Jr.,,,,Jaire Alexander,Preston Smith,,,,,,,Luke Musgrave,,,,Gervon Dexter,DeMarcus Walker,Eddie Jackson,Tyrique Stevenson,Jaquan Brisker,Quay Walker,,,,,,,,,,,,,,,,,,,,,,,,,,
