home_score,away_score,roof,surface,spread,favored_team,vegas_total,attendance,away_rush_attempts,away_rush_yards,away_rush_tds,home_rush_attempts,home_rush_yards,home_rush_tds,away_pass_completions,away_pass_attempts,away_pass_yards,away_pass_tds,away_pass_ints,home_pass_completions,home_pass_attempts,home_pass_yards,home_pass_tds,home_pass_ints,away_sacked,away_sacked_yds,home_sacked,home_sacked_yds,away_total_yds,home_total_yds,away_fumbles,away_fumbles_lost,home_fumbles,home_fumbles_lost,away_turnovers,home_turnovers,away_penalties,away_penalties_yds,home_penalties,home_penalties_yds,away_third_down_attempts,away_third_down_converted,home_third_down_attempts,home_third_down_converted,away_fourth_down_attempts,away_fourth_down_converted,home_fourth_down_attempts,home_fourth_down_converted,away_possession_pct,home_possession_pct,home_drives,home_total_plays,home_punts,home_field_goals,home_touchdowns,vis_drives,vis_total_plays,vis_punts,vis_field_goals,vis_touchdowns,home_qb,home_rb,home_wr,home_wr2,home_wr3,home_te,home_ol1,home_ol2,home_ol3,home_ol4,home_ol5,home_de,home_de2,home_dt,home_dt2,home_lb,home_lb2,home_lb3,home_cb,home_cb2,home_s,home_s2,vis_qb,vis_rb,vis_wr,vis_wr2,vis_te,vis_te2,vis_ol1,vis_ol2,vis_ol3,vis_ol4,vis_ol5,vis_dt,vis_dt2,vis_olb,vis_olb2,vis_lb,vis_lb2,vis_cb,vis_cb2,vis_s,vis_s2,vis_db,season,week,away_team,home_team,game_url,date,home_te2,home_dt3,home_olb,vis_dl,vis_dl2,vis_dl3,vis_dl4,vis_lb3,home_dl,home_dl2,home_dl3,home_olb2,vis_lb4,home_cb3,vis_wr3,vis_cb3,vis_de,vis_de2,home_dl4,home_db,home_db2,home_db3,home_db4,home_db5,vis_fs,vis_s3,home_lb4,home_te3,vis_fb,home_nt,home_ss,home_fs,vis_te3,vis_dt3,vis_mlb,vis_nt,vis_db2,vis_db3,vis_db4,home_fb,vis_ol6,vis_ol7,home_mlb,vis_cb4,home_rb2,vis_ss,home_s3,vis_db5,home_ol6,vis_rb2,vis_dl5,vis_nt2,home_cb4,home_olb3,home_nt2,vis_olb3,vis_lb5,vis_de3
27,20,outdoors,grass,-3.0,Kansas City Chiefs,47.0,73611,32,185,1,20,72,2,26,41,273,1,0,20,28,291,1,1,1,6,2,10,452,353,1,1,0,0,1,1,7,64,6,45,14,7,9,4,2,1,0,0,0.56,0.44,10,52,3,2,3,10,77,2,2,2,Patrick Mahomes,Isiah Pacheco,Xavier Worthy,JuJu Smith-Schuster,Rashee Rice,Travis Kelce,Jawaan Taylor,Kingsley Suamataia,Joe Thuney,Trey Smith,Creed Humphrey,Michael Danna,George Karlaftis III,Mike Pennel,Chris Jones,Nick Bolton,Drue Tranquill,Leo Chenal,Trent McDuffie,Jaylen Watson,Justin Reid,Bryan Cook,Lamar Jackson,Derrick Henry,Rashod Bateman,Zay Flowers,Mark Andrews,Isaiah Likely,Patrick Mekari,Andrew Vorhees,Ronnie Stanley,Daniel Faalele,Tyler Linderbaum,Travis Jones,Nnamdi Madubuike,Kyle Van Noy,Odafe Oweh,Trenton Simpson,Roquan Smith,Jalyn Armour-Davis,Marlon Humphrey,Kyle Hamilton,Marcus Williams,Brandon Stephens,2024,1.0,Baltimore Ravens,Kansas City Chiefs,https://www.pro-football-reference.com/boxscores/202409050kan.htm,2024-09-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,29,N/A,N/A,-2.0,Philadelphia Eagles,49.5,47236,21,163,1,38,144,2,17,35,260,2,1,20,34,278,2,2,2,9,2,12,414,410,1,0,2,1,1,3,10,71,7,57,11,3,14,4,1,1,1,1,0.45,0.55,11,76,2,2,4,11,62,2,3,3,Jalen Hurts,Saquon Barkley,DeVonta Smith,A.J. Brown,,Grant Calcaterra,Cam Jurgens,Mekhi Becton,Jordan Mailata,Lane Johnson,Landon Dickerson,Bryce Huff,,Milton Williams,Jordan Davis,Nakobe Dean,Zack Baun,,Quinyon Mitchell,Darius Slay,C.J. Gardner-Johnson,Reed Blankenship,Jordan Love,Josh Jacobs,Christian Watson,Romeo Doubs,Tucker Kraft,Luke Musgrave,Elgton Jenkins,Josh Myers,Zach Tom,Rasheed Walker,Sean Rhyan,,,,,Eric Wilson,Quay Walker,Eric Stokes,Jaire Alexander,Xavier McKinney,Javon Bullard,,2024,1.0,Green Bay Packers,Philadelphia Eagles,https://www.pro-football-reference.com/boxscores/202409060phi.htm,2024-09-06,Dallas Goedert,Jalen Carter,Josh Sweat,Rashan Gary,Kenny Clark,Tedarrell Slaton,Preston Smith,Isaiah McDuffie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,18,retractable roof (closed),fieldturf,-3.5,Atlanta Falcons,42.0,72291,41,137,0,22,89,0,17,23,156,0,0,16,26,155,1,2,2,23,2,18,270,226,1,0,1,1,0,3,9,60,5,34,17,8,9,2,1,0,1,1,0.59,0.41,10,51,4,1,1,10,72,3,6,0,Kirk Cousins,Bijan Robinson,Darnell Mooney,Drake London,,Charlie Woerner,Matthew Bergeron,Drew Dalman,Jake Matthews,Kaleb McGary,Chris Lindstrom,,,,,Nathan Landman,Kaden Elliss,,Mike Hughes,AJ Terrell,Justin Simmons,Jessie Bates III,Justin Fields,Najee Harris,George Pickens,Van Jefferson,Darnell Washington,MyCole Pruitt,Spencer Anderson,James Daniels,Dan Moore,Broderick Jones,Zach Frazier,Larry Ogunjobi,Cameron Heyward,,,Alex Highsmith,Patrick Queen,Donte Jackson,Joey Porter Jr.,Minkah Fitzpatrick,DeShon Elliott,,2024,1.0,Pittsburgh Steelers,Atlanta Falcons,https://www.pro-football-reference.com/boxscores/202409080atl.htm,2024-09-08,Kyle Pitts,,Matt Judon,Keeanu Benton,,,,Elandon Roberts,Grady Jarrett,Eddie Goldman,David Onyemata,Lorenzo Carter,T.J. Watt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,28,outdoors,a_turf,-6.5,Buffalo Bills,46.5,70542,25,124,1,33,130,2,21,31,162,1,0,18,23,232,2,0,4,16,2,10,270,352,1,1,1,1,1,1,5,31,9,65,13,7,9,3,1,0,2,2,0.49,0.51,10,60,2,2,4,9,62,2,2,2,Josh Allen,James Cook,Keon Coleman,Khalil Shakir,,Dawson Knox,Spencer Brown,Dion Dawkins,Connor McGovern,O'Cyrus Torrence,David Edwards,A.J. Epenesa,Gregory Rousseau,DaQuan Jones,Ed Oliver,Terrel Bernard,Dorian Williams,,Taron Johnson,Rasul Douglas,Taylor Rapp,Damar Hamlin,Kyler Murray,James Conner,Michael Wilson,Greg Dortch,Trey McBride,,Evan Brown,Jonah Williams,Paris Johnson,Will Hernandez,Hjalte Froholdt,,,Zaven Collins,,Kyzir White,Mack Wilson,Starling Thomas,Garrett Williams,Jalen Thompson,Budda Baker,,2024,1.0,Arizona Cardinals,Buffalo Bills,https://www.pro-football-reference.com/boxscores/202409080buf.htm,2024-09-08,Dalton Kincaid,,,Justin Jones,Roy Lopez,L.J. Collier,,,,,,,,Christian Benford,Marvin Harrison Jr.,Sean Murphy-Bunting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,10,dome,sportturf,-4.0,New Orleans Saints,41.5,70007,20,58,1,37,180,2,13,31,161,0,2,19,24,200,3,0,4,26,1,1,193,379,1,1,1,1,3,1,6,80,10,95,10,1,13,7,3,1,0,0,0.39,0.61,11,66,2,4,5,13,56,5,1,1,Derek Carr,Alvin Kamara,Rashid Shaheed,Chris Olave,,Taysom Hill,Cesar Ruiz,Lucas Patrick,Erik McCoy,Taliese Fuaga,Trevor Penning,Carl Granderson,Cameron Jordan,Bryan Bresee,Nathan Shepherd,Pete Werner,Willie Gay Jr.,Demario Davis,Marshon Lattimore,Will Harris,Tyrann Mathieu,,Bryce Young,Chuba Hubbard,Diontae Johnson,Adam Thielen,Ja'Tavion Sanders,Jordan Matthews,Ikem Ekwonu,Taylor Moton,Robert Hunt,Damien Lewis,Austin Corbett,Shy Tuttle,,Jadeveon Clowney,,Josey Jewell,Shaq Thompson,Michael Jackson,Jaycee Horn,Xavier Woods,Jordan Fuller,,2024,1.0,Carolina Panthers,New Orleans Saints,https://www.pro-football-reference.com/boxscores/202409080nor.htm,2024-09-08,Foster Moreau,,,,,,,,,,,,,Paulson Adebo,,Troy Hill,A'Shawn Robinson,Derrick Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,17,outdoors,grass,-3.5,Chicago Bears,44.5,59403,26,140,1,22,84,0,19,32,127,1,2,14,29,93,0,0,3,23,2,29,244,148,1,1,3,1,3,1,8,50,7,55,14,3,13,2,2,1,2,2,0.58,0.42,10,56,6,3,0,13,62,5,1,2,Caleb Williams,D'Andre Swift,Keenan Allen,D.J. Moore,,Gerald Everett,Darnell Wright,Nate Davis,Coleman Shelton,Teven Jenkins,Braxton Jones,,,,,T.J. Edwards,Tremaine Edmunds,,,,,,Will Levis,Tony Pollard,Tyler Boyd,Calvin Ridley,Chigoziem Okonkwo,,Peter Skoronski,Dillon Radunz,Nicholas Petit-Frere,JC Latham,Lloyd Cushenberry III,T'Vondre Sweat,Jeffery Simmons,Harold Landry,Arden Key,Kenneth Murray,Jack Gibbens,Chidobe Awuzie,L'Jarius Sneed,Amani Hooker,,,2024,1.0,Tennessee Titans,Chicago Bears,https://www.pro-football-reference.com/boxscores/202409080chi.htm,2024-09-08,Marcedes Lewis,,,Sebastian Joseph-Day,,,,,Andrew Billings,DeMarcus Walker,Montez Sweat,,,,DeAndre Hopkins,,,,Gervon Dexter,Jaylon Johnson,Kyler Gordon,Terell Smith,Kevin Byard,Jaquan Brisker,Quandre Diggs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,16,outdoors,fieldturf,-7.5,Cincinnati Bengals,41.0,66214,39,170,1,16,70,1,15,24,121,0,0,21,29,164,0,0,1,1,3,10,290,224,1,0,3,2,0,2,5,40,2,10,15,6,11,4,0,0,1,0,0.57,0.43,8,49,4,1,1,10,67,5,3,1,Joe Burrow,Zack Moss,Trenton Irwin,Ja'Marr Chase,Andrei Iosivas,Drew Sample,Orlando Brown Jr.,Trent Brown,Alex Cappa,Cordell Volson,Ted Karras,Sam Hubbard,Trey Hendrickson,B.J. Hill,Sheldon Rankins,Germaine Pratt,Logan Wilson,,Daxton Hill,Mike Hilton,Vonn Bell,Geno Stone,Jacoby Brissett,Rhamondre Stevenson,Demario Douglas,Tyquan Thornton,Hunter Henry,,Michael Onwenu,Chukwuma Okorafor,Layden Robinson,Michael Jordan,David Andrews,Daniel Ekuale,Davon Godchaux,,,Ja'Whaun Bentley,Jahlani Tavai,Marcus Jones,Jonathan Jones,Jabrill Peppers,Kyle Dugger,,2024,1.0,New England Patriots,Cincinnati Bengals,https://www.pro-football-reference.com/boxscores/202409080cin.htm,2024-09-08,,,,,,,,Anfernee Jennings,,,,,,Cam Taylor-Britt,K.J. Osborn,Christian Gonzalez,Keion White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,29,retractable roof (open),fieldturf,-2.5,Houston Texans,48.5,65306,40,213,1,22,104,2,24,32,234,2,0,9,19,212,2,1,4,30,2,13,417,303,0,0,0,0,0,1,5,30,4,20,14,7,10,5,2,2,2,1,0.67,0.33,9,43,3,0,4,10,79,1,3,3,Anthony Richardson,Jonathan Taylor,Adonai Mitchell,Alec Pierce,Michael Pittman Jr.,Mo Alie-Cox,Will Fries,Braden Smith,Bernhard Raimann,Quenton Nelson,Ryan Kelly,Tyquan Lewis,Kwity Paye,Grover Stewart,DeForest Buckner,E.J. Speed,Zaire Franklin,,Kenny Moore,Jaylon Jones,Nick Cross,Julian Blackmon,C.J. Stroud,Joe Mixon,Nico Collins,Tank Dell,Dalton Schultz,,Juice Scruggs,Laremy Tunsil,Tytus Howard,Kenyon Green,Shaq Mason,Folorunso Fatukasi,Mario Edwards,,,Henry To'oTo'o,Azeez Al-Shaair,Kamari Lassiter,Derek Stingley Jr.,Eric Murray,Jalen Pitre,,2024,1.0,Houston Texans,Indianapolis Colts,https://www.pro-football-reference.com/boxscores/202409080clt.htm,2024-09-08,,,,,,,,,,,,,,Julius Brents,Stefon Diggs,,Will Anderson,Danielle Hunter,,,,,,,,Jimmie Ward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,17,outdoors,grass,-3.5,Miami Dolphins,49.5,65582,26,128,1,25,81,1,12,21,162,1,0,23,37,338,1,0,3,23,3,19,267,400,2,1,0,0,1,0,8,71,9,103,10,2,16,8,1,0,2,0,0.45,0.55,11,68,4,2,2,11,51,6,1,2,Tua Tagovailoa,Raheem Mostert,Jaylen Waddle,Tyreek Hill,,Durham Smythe,Aaron Brewer,Robert Jones,Austin Jackson,Liam Eichenberg,Terron Armstead,,,Zach Sieler,Calais Campbell,David Long,Emmanuel Ogbah,Jaelan Phillips,Kendall Fuller,Kader Kohou,Jevon Holland,Jordan Poyer,Trevor Lawrence,Travis Etienne,Gabriel Davis,Christian Kirk,Evan Engram,Luke Farrell,Ezra Cleveland,Brandon Scherff,Cam Robinson,Anton Harrison,Mitch Morse,DaVon Hamilton,,,,Devin Lloyd,Foyesade Oluokun,Tyson Campbell,Ronald Darby,Antonio Johnson,Darnell Savage Jr.,,2024,1.0,Jacksonville Jaguars,Miami Dolphins,https://www.pro-football-reference.com/boxscores/202409080mia.htm,2024-09-08,Julian Hill,,,Roy Robertson-Harris,,,,,,,,,,Jalen Ramsey,,,Josh Hines-Allen,Travon Walker,,,,,,,,Andre Cisco,Jordyn Brooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,28,outdoors,fieldturf,-1.5,Minnesota Vikings,41.0,81908,26,111,1,21,74,0,19,24,208,2,1,22,42,186,0,2,1,7,5,20,312,240,1,1,1,0,2,2,7,63,9,95,10,3,18,7,1,1,3,1,0.46,0.54,11,70,6,2,0,10,51,4,0,3,Daniel Jones,Devin Singletary,Malik Nabers,,,Daniel Bellinger,Jermaine Eluemunor,Andrew Thomas,Greg Van Roten,Jon Runyan Jr.,John Michael Schmitz,,,Elijah Chatman,,Darius Muasau,Bobby Okereke,,Nick McCloud,Deonte Banks,Tyler Nubin,Jason Pinnock,Sam Darnold,Aaron Jones,Jordan Addison,Justin Jefferson,Josh Oliver,,Brian O'Neill,Christian Darrisaw,Blake Brandel,Ed Ingram,Garrett Bradbury,Jerry Tillery,,Jonathan Greenard,Andrew Van Ginkel,Blake Cashman,Ivan Pace,Stephon Gilmore,Byron Murphy,Camryn Bynum,Harrison Smith,,2024,1.0,Minnesota Vikings,New York Giants,https://www.pro-football-reference.com/boxscores/202409080nyg.htm,2024-09-08,Theo Johnson,,Kayvon Thibodeaux,Jonathan Bullard,Harrison Phillips,,,,Dexter Lawrence,Rakeem Nunez-Roches,,Brian Burns,,,,,,,,,,,,,,,,Chris Manhertz,C.J. Ham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
