season,week,date,time,away_team,home_team,game_url
2022,1,2022-09-08,8:20PM,Buffalo Bills,Los Angeles Rams,https://www.pro-football-reference.com/boxscores/202209080ram.htm
2022,1,2022-09-11,1:00PM,New Orleans Saints,Atlanta Falcons,https://www.pro-football-reference.com/boxscores/202209110atl.htm
2022,1,2022-09-11,1:00PM,Cleveland Browns,Carolina Panthers,https://www.pro-football-reference.com/boxscores/202209110car.htm
2022,1,2022-09-11,1:00PM,San Francisco 49ers,Chicago Bears,https://www.pro-football-reference.com/boxscores/202209110chi.htm
2022,1,2022-09-11,1:00PM,Pittsburgh Steelers,Cincinnati Bengals,https://www.pro-football-reference.com/boxscores/202209110cin.htm
2022,1,2022-09-11,1:00PM,Indianapolis Colts,Houston Texans,https://www.pro-football-reference.com/boxscores/202209110htx.htm
2022,1,2022-09-11,1:00PM,Philadelphia Eagles,Detroit Lions,https://www.pro-football-reference.com/boxscores/202209110det.htm
2022,1,2022-09-11,1:00PM,Jacksonville Jaguars,Washington Commanders,https://www.pro-football-reference.com/boxscores/202209110was.htm
2022,1,2022-09-11,1:00PM,New England Patriots,Miami Dolphins,https://www.pro-football-reference.com/boxscores/202209110mia.htm
2022,1,2022-09-11,1:00PM,Baltimore Ravens,New York Jets,https://www.pro-football-reference.com/boxscores/202209110nyj.htm
2022,1,2022-09-11,4:25PM,Kansas City Chiefs,Arizona Cardinals,https://www.pro-football-reference.com/boxscores/202209110crd.htm
2022,1,2022-09-11,4:25PM,Green Bay Packers,Minnesota Vikings,https://www.pro-football-reference.com/boxscores/202209110min.htm
2022,1,2022-09-11,4:25PM,New York Giants,Tennessee Titans,https://www.pro-football-reference.com/boxscores/202209110oti.htm
2022,1,2022-09-11,4:25PM,Las Vegas Raiders,Los Angeles Chargers,https://www.pro-football-reference.com/boxscores/202209110sdg.htm
2022,1,2022-09-11,8:20PM,Tampa Bay Buccaneers,Dallas Cowboys,https://www.pro-football-reference.com/boxscores/202209110dal.htm
2022,1,2022-09-12,8:20PM,Denver Broncos,Seattle Seahawks,https://www.pro-football-reference.com/boxscores/202209120sea.htm
2022,2,2022-09-15,8:15PM,Los Angeles Chargers,Kansas City Chiefs,https://www.pro-football-reference.com/boxscores/202209150kan.htm
2022,2,2022-09-18,1:00PM,Carolina Panthers,New York Giants,https://www.pro-football-reference.com/boxscores/202209180nyg.htm
2022,2,2022-09-18,1:00PM,New York Jets,Cleveland Browns,https://www.pro-football-reference.com/boxscores/202209180cle.htm
2022,2,2022-09-18,1:00PM,Indianapolis Colts,Jacksonville Jaguars,https://www.pro-football-reference.com/boxscores/202209180jax.htm
2022,2,2022-09-18,1:00PM,Washington Commanders,Detroit Lions,https://www.pro-football-reference.com/boxscores/202209180det.htm
2022,2,2022-09-18,1:00PM,Miami Dolphins,Baltimore Ravens,https://www.pro-football-reference.com/boxscores/202209180rav.htm
2022,2,2022-09-18,1:00PM,Tampa Bay Buccaneers,New Orleans Saints,https://www.pro-football-reference.com/boxscores/202209180nor.htm
2022,2,2022-09-18,1:00PM,New England Patriots,Pittsburgh Steelers,https://www.pro-football-reference.com/boxscores/202209180pit.htm
2022,2,2022-09-18,4:05PM,Atlanta Falcons,Los Angeles Rams,https://www.pro-football-reference.com/boxscores/202209180ram.htm
2022,2,2022-09-18,4:05PM,Seattle Seahawks,San Francisco 49ers,https://www.pro-football-reference.com/boxscores/202209180sfo.htm
2022,2,2022-09-18,4:25PM,Cincinnati Bengals,Dallas Cowboys,https://www.pro-football-reference.com/boxscores/202209180dal.htm
