season,week,date,time,away_team,home_team,game_url
2010,1,2010-09-09,8:41PM,Minnesota Vikings,New Orleans Saints,https://www.pro-football-reference.com/boxscores/201009090nor.htm
2010,1,2010-09-12,1:02PM,Atlanta Falcons,Pittsburgh Steelers,https://www.pro-football-reference.com/boxscores/201009120pit.htm
2010,1,2010-09-12,1:02PM,Miami Dolphins,Buffalo Bills,https://www.pro-football-reference.com/boxscores/201009120buf.htm
2010,1,2010-09-12,1:02PM,Detroit Lions,Chicago Bears,https://www.pro-football-reference.com/boxscores/201009120chi.htm
2010,1,2010-09-12,1:02PM,Cincinnati Bengals,New England Patriots,https://www.pro-football-reference.com/boxscores/201009120nwe.htm
2010,1,2010-09-12,1:02PM,Cleveland Browns,Tampa Bay Buccaneers,https://www.pro-football-reference.com/boxscores/201009120tam.htm
2010,1,2010-09-12,1:02PM,Indianapolis Colts,Houston Texans,https://www.pro-football-reference.com/boxscores/201009120htx.htm
2010,1,2010-09-12,1:02PM,Oakland Raiders,Tennessee Titans,https://www.pro-football-reference.com/boxscores/201009120oti.htm
2010,1,2010-09-12,1:03PM,Denver Broncos,Jacksonville Jaguars,https://www.pro-football-reference.com/boxscores/201009120jax.htm
2010,1,2010-09-12,1:04PM,Carolina Panthers,New York Giants,https://www.pro-football-reference.com/boxscores/201009120nyg.htm
2010,1,2010-09-12,4:15PM,Arizona Cardinals,St. Louis Rams,https://www.pro-football-reference.com/boxscores/201009120ram.htm
2010,1,2010-09-12,4:16PM,Green Bay Packers,Philadelphia Eagles,https://www.pro-football-reference.com/boxscores/201009120phi.htm
2010,1,2010-09-12,4:16PM,San Francisco 49ers,Seattle Seahawks,https://www.pro-football-reference.com/boxscores/201009120sea.htm
2010,1,2010-09-12,8:31PM,Dallas Cowboys,Washington Redskins,https://www.pro-football-reference.com/boxscores/201009120was.htm
2010,1,2010-09-13,7:26PM,Baltimore Ravens,New York Jets,https://www.pro-football-reference.com/boxscores/201009130nyj.htm
2010,1,2010-09-13,10:20PM,San Diego Chargers,Kansas City Chiefs,https://www.pro-football-reference.com/boxscores/201009130kan.htm
2010,2,2010-09-19,1:02PM,Buffalo Bills,Green Bay Packers,https://www.pro-football-reference.com/boxscores/201009190gnb.htm
2010,2,2010-09-19,1:02PM,Baltimore Ravens,Cincinnati Bengals,https://www.pro-football-reference.com/boxscores/201009190cin.htm
2010,2,2010-09-19,1:02PM,Kansas City Chiefs,Cleveland Browns,https://www.pro-football-reference.com/boxscores/201009190cle.htm
